Filing Freeze Manifest
Date: 2026-03-16
Source files frozen into this directory.

filename | figure_id | sha256
patent_a_fig1.svg | PATENT a FIG1 | 57620a615090eafeb3eafee893b87c769e304ce590149d25ad88b9c63d1b2e49
patent_a_fig2.svg | PATENT a FIG2 | 8be259b10d5022d372c4426bbf07fa665d512bc869c6e277d1d23b1f5385d1d0
patent_a_fig3.svg | PATENT a FIG3 | 93e6c07442d6d2a4bd225469313a8844f396ac105651a27ed3a2fd86ecee1929
patent_a_fig4.svg | PATENT a FIG4 | 019562df814177cbbe011e1e2d925fbc46d97efa478b922e7cf89980566168f4
patent_a_fig5.svg | PATENT a FIG5 | e66875a7bec2cbb357ed96c1733f879ce2b674ef7b082cdaa9467b8b420f983d
patent_a_fig6.svg | PATENT a FIG6 | d103c35a16c8400e684b6cef2a41c924897f9b76484085622623bffec86c11f4
patent_a_fig7.svg | PATENT a FIG7 | 33844466cd7e289cf8d5a90261629627db5b261b61eba0bd7b11e21ac7a3ac5e
patent_a_fig8.svg | PATENT a FIG8 | 1ab4f589dfd9947c7ccb916b69c141846b6f3a60b3d7d64acb4749d1674edfcc
patent_b_fig1.svg | PATENT b FIG1 | 4dd277ff81eefaca45def5bc8af850fefb594c645fd3cae1a411083a89f366f6
patent_b_fig2.svg | PATENT b FIG2 | 19effb74888d115bfe36b2dd8207ad2e144273b1ba17ea7d20edccb09ab13da9
patent_b_fig3.svg | PATENT b FIG3 | c31ac5228c4f5aae153ea04b1760ca5ebaa7f557de9e6319096bb6419554d363
patent_b_fig4.svg | PATENT b FIG4 | 04d85132d7536a202cb0329f255245041e052b232f1b0d95043b094f60d5e74b
patent_b_fig5.svg | PATENT b FIG5 | 64bded6ba2c4f3950d505515737ed702a0fc8096584fb64277477e21f5836b1c
patent_b_fig6.svg | PATENT b FIG6 | f92ba81d447a7e8256d7d79be7e103576e006673d2d8431bf25ddd68417a1407
patent_c_fig1.svg | PATENT c FIG1 | 118009518214420600a95a3799cee9d091760bfef24d0844b6128f25bb855665
patent_c_fig2.svg | PATENT c FIG2 | 4a86fe95bf92496753d58c5513b284b431159c862b184c7a39c7242b0cb1b64a
patent_c_fig3.svg | PATENT c FIG3 | 127c97eba1f7f2702d3f7bdc06016875f49ccd45160c4c89de218455b222294a
patent_c_fig4.svg | PATENT c FIG4 | dfe199cc61f3a9d4bdfed7478688cd8f824b7a2c8df7d6d40ee242dfb94a1c8f
patent_c_fig5.svg | PATENT c FIG5 | 916427f008a8040e1694444aed4e43a9173e6aec0e303ea9ab86220b162cb3e2
patent_c_fig6.svg | PATENT c FIG6 | 46fba9a374e63e1a52cf31b6c39532cd919ea1694865dbf67971e55167d72e61
patent_c_fig7.svg | PATENT c FIG7 | ed789a998c6115b448fd105dfbc0cf10b3f350e4600804c7e395f6cdfed79d16
